Mod,totalEN,totalStd,Glytoucan,Order,Mod2,IUPAC,CommonName2,x_label
3'SLN,0.3882954490838064,0.08685243819099983,G04307DP-[NA],0,3'SLN-[NA],Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-Sp-[NA],3'SLN-[NA],3'SLN-[NA]
6'SLN,0.40416896250040335,0.1339332868892676,G73578JC-[NA],0,6'SLN-[NA],Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-Sp-[NA],6'SLN-[NA],6'SLN-[NA]
D11,1.3415675155931943,0.5487571283243188,G97763JB-[NA],0,D11-[NA],Gal(b1-3)GalNAc(a1-Thr-[NA],TF-[NA],D11-[NA]
D14,1.3999829820365615,1.1650818628401585,G36123IU-[NA],0,D14-[NA],Neu5Ac(a2-6)GalNAc(a1-Thr-[NA],STn-[NA],D14-[NA]
D21,1.9107935556217668,0.665328454627318,G33129LQ-[NA],0,D21-[NA],GalNAc(b1-4)GlcNAc(b1-Sp-[NA],D21-[NA],D21-[NA]
D8,0.9699196149331436,0.15562296465582057,G16384KS-[NA],0,D8-[NA],Gal(b1-3)GlcNAc(b1-Sp-[NA],Lec-[NA],D8-[NA]
D9,0.6847474813548232,0.4769548834815611,G94144EF-[NA],0,D9-[NA],Gal(b1-4)Glc(b1-Sp-[NA],"Lac, L-[NA]",D9-[NA]
Di-N3,3.209774703923929,2.562470899680851,G00068MO-[NA],0,Di-N3-[NA],Fuc(a1-2)Gal(b1-Sp-[NA],Di-N3-[NA],Di-N3-[NA]
galf,0.11248696712794429,0.035048421178332886,NA-[NA],0,galf-[NA],NANA-[NA],NA-[NA],galf-[NA]
galf-di,0.5109641450050393,0.17843157047909533,NA-[NA],0,galf-di-[NA],NANA-[NA],NA-[NA],galf-di-[NA]
galf-tri,1.1444779614159148,0.18324599296265845,NA-[NA],0,galf-tri-[NA],NANA-[NA],NA-[NA],galf-tri-[NA]
galf4_low,0.6864491866601861,0.11178837242824127,G92890KE-[NA],0,galf4_low-[NA],Galf(b1-5)Galf(b1-5)Galf(b1-5)Galf(b1-S8-[NA],Tetra-Galf-[NA],galf4_low-[NA]
galf4_mid,1.0949096078051666,0.08076006093454814,G92890KE-[NA],0,galf4_mid-[NA],Galf(b1-5)Galf(b1-5)Galf(b1-5)Galf(b1-S8-[NA],Tetra-Galf-[NA],galf4_mid-[NA]
galf4-high,0.8629170757136897,0.12815886644693436,G92890KE-[NA],0,galf4-high-[NA],Galf(b1-5)Galf(b1-5)Galf(b1-5)Galf(b1-S8-[NA],Tetra-Galf-[NA],galf4-high-[NA]
Lac_mid,0.9487443964259442,0.09796491038868256,NA-[NA],0,Lac_mid-[NA],NANA-[NA],NA-[NA],Lac_mid-[NA]
Man_high1,0.41258854297479586,0.16755553485504254,NA-[NA],0,Man_high1-[NA],NANA-[NA],NA-[NA],Man_high1-[NA]
Man_high2,0.19336172387239756,0.09161341717470185,NA-[NA],0,Man_high2-[NA],NANA-[NA],NA-[NA],Man_high2-[NA]
Man_mid,0.5541317279044963,0.0917761764110998,NA-[NA],0,Man_mid-[NA],NANA-[NA],NA-[NA],Man_mid-[NA]
PZ-10048,0.596600612953593,0.17033662926669096,G19165TD-[NA],0,PZ-10048-[NA],Man(a1-S6-[NA],Mana-[NA],PZ-10048-[NA]
PZ-5080,0.3150513211105861,0.13510457881456692,G94144EF-[NA],0,PZ-5080-[NA],Gal(b1-4)Glc(b1-p4-[NA],"Lac, L-[NA]",PZ-5080-[NA]
PZ-8015,1.3917469479926778,0.24056385377892475,G80926OA-[NA],0,PZ-8015-[NA],Man(a1-6)[Man(a1-3)]Man(a1-s6-[NA],Tri-Man-[NA],PZ-8015-[NA]
Te100,0.6348922809275148,0.6509058853778087,G46055MA-[NA],0,Te100-[NA],Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp-[NA],Tri-LN-[NA],Te100-[NA]
Te101,0.6912228708073598,0.33418163279817337,G79535HZ-[NA],0,Te101-[NA],Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp-[NA],Di-Lex-[NA],Te101-[NA]
